"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 03 21:12:24 PST 2020","Mon Feb 03 21:12:25 PST 2020","589","TestCases","test_AddNewUser","","","","test_add_student_data",""
"passed","Mon Feb 03 21:12:36 PST 2020","Mon Feb 03 21:12:36 PST 2020","550","TestCases","test_request_chaining","","","","test_add_new_student",""
"passed","Mon Feb 03 21:12:26 PST 2020","Mon Feb 03 21:12:27 PST 2020","715","TestCases","test_AddNewUser","","","","test_delete_student",""
"passed","Mon Feb 03 21:12:28 PST 2020","Mon Feb 03 21:12:29 PST 2020","1222","TestCases","test_Create_user","","","","test_create_other_user",""
"passed","Mon Feb 03 21:12:26 PST 2020","Mon Feb 03 21:12:26 PST 2020","712","TestCases","test_AddNewUser","","","","test_get_student_data",""
"passed","Mon Feb 03 21:12:32 PST 2020","Mon Feb 03 21:12:35 PST 2020","2911","TestCases","test_end_to_end","","","","test_add_new_data",""
"passed","Mon Feb 03 21:12:25 PST 2020","Mon Feb 03 21:12:26 PST 2020","608","TestCases","test_AddNewUser","","","","test_put_student_data",""
"passed","Mon Feb 03 21:12:27 PST 2020","Mon Feb 03 21:12:28 PST 2020","607","TestCases","test_Create_user","","","","test_create_new_user",""
"passed","Mon Feb 03 21:12:29 PST 2020","Mon Feb 03 21:12:32 PST 2020","2652","TestCases","test_add_student_multiple_data","","","","test_add_multiple_students",""
"passed","Mon Feb 03 21:12:29 PST 2020","Mon Feb 03 21:12:29 PST 2020","155","TestCases","test_GetUserData","","","","test_fetch_user_details",""
"passed","Mon Feb 03 21:12:36 PST 2020","Mon Feb 03 21:12:37 PST 2020","573","TestCases","test_request_chaining","","","","test_get_details",""
"broken","Mon Feb 03 21:12:35 PST 2020","Mon Feb 03 21:12:36 PST 2020","721","TestCases","test_oAuthentication","","","","test_oauth_api",""
"passed","Mon Feb 03 21:12:32 PST 2020","Mon Feb 03 21:12:32 PST 2020","416","TestCases","test_basic_authentication","","","","test_with_authentication",""
